run,iterations,type,latency
8,400000,Client + Server (elevated),0.109299
9,400000,Independent Client,0.098957
9,400000,Independent Client (elevated),0.063814
9,400000,Client + Server,0.143937
9,400000,Client + Server (elevated),0.113354
0,500000,Independent Client,0.128126
0,500000,Independent Client (elevated),0.076998
0,500000,Client + Server,0.182041
0,500000,Client + Server (elevated),0.137607
1,500000,Independent Client,0.116528
1,500000,Independent Client (elevated),0.076336
1,500000,Client + Server,0.168801
1,500000,Client + Server (elevated),0.129339
2,500000,Independent Client,0.116800
2,500000,Independent Client (elevated),0.076988
2,500000,Client + Server,0.178249
2,500000,Client + Server (elevated),0.131523
3,500000,Independent Client,0.099228
3,500000,Independent Client (elevated),0.077502
3,500000,Client + Server,0.178399
3,500000,Client + Server (elevated),0.126904
4,500000,Independent Client,0.119852
4,500000,Independent Client (elevated),0.078073
4,500000,Client + Server,0.168899
4,500000,Client + Server (elevated),0.135312
5,500000,Independent Client,0.130571
5,500000,Independent Client (elevated),0.069790
5,500000,Client + Server,0.175745
5,500000,Client + Server (elevated),0.137333
6,500000,Independent Client,0.117947
6,500000,Independent Client (elevated),0.072321
6,500000,Client + Server,0.180724
6,500000,Client + Server (elevated),0.138300
7,500000,Independent Client,0.117452
7,500000,Independent Client (elevated),0.080238
7,500000,Client + Server,0.177126
7,500000,Client + Server (elevated),0.136915
8,500000,Independent Client,0.127428
8,500000,Independent Client (elevated),0.077422
8,500000,Client + Server,0.180789
8,500000,Client + Server (elevated),0.134892
9,500000,Independent Client,0.119035
9,500000,Independent Client (elevated),0.077358
9,500000,Client + Server,0.181307
9,500000,Client + Server (elevated),0.135114
0,600000,Independent Client,0.136714
0,600000,Independent Client (elevated),0.088189
0,600000,Client + Server,0.219273
0,600000,Client + Server (elevated),0.151906
1,600000,Independent Client,0.147078
1,600000,Independent Client (elevated),0.087112
1,600000,Client + Server,0.218645
1,600000,Client + Server (elevated),0.166203
2,600000,Independent Client,0.120791
2,600000,Independent Client (elevated),0.086617
2,600000,Client + Server,0.217939
2,600000,Client + Server (elevated),0.154108
3,600000,Independent Client,0.137334
3,600000,Independent Client (elevated),0.086906
3,600000,Client + Server,0.221033
3,600000,Client + Server (elevated),0.164484
4,600000,Independent Client,0.148539
4,600000,Independent Client (elevated),0.083232
4,600000,Client + Server,0.218703
4,600000,Client + Server (elevated),0.161704
5,600000,Independent Client,0.137683
5,600000,Independent Client (elevated),0.088983
5,600000,Client + Server,0.212167
5,600000,Client + Server (elevated),0.161371
6,600000,Independent Client,0.137362
6,600000,Independent Client (elevated),0.086650
6,600000,Client + Server,0.217351
6,600000,Client + Server (elevated),0.164434
7,600000,Independent Client,0.148318
7,600000,Independent Client (elevated),0.082839
7,600000,Client + Server,0.213871
7,600000,Client + Server (elevated),0.163863
8,600000,Independent Client,0.137134
8,600000,Independent Client (elevated),0.089276
8,600000,Client + Server,0.216105
8,600000,Client + Server (elevated),0.158226
9,600000,Independent Client,0.134039
9,600000,Independent Client (elevated),0.088687
9,600000,Client + Server,0.214819
9,600000,Client + Server (elevated),0.165499
0,700000,Independent Client,0.168550
0,700000,Independent Client (elevated),0.094415
0,700000,Client + Server,0.252775
0,700000,Client + Server (elevated),0.192641
1,700000,Independent Client,0.159501
1,700000,Independent Client (elevated),0.100676
1,700000,Client + Server,0.255145
1,700000,Client + Server (elevated),0.185385
2,700000,Independent Client,0.169576
