run,iterations,type,latency
8,1900000,Independent Client,0.376409
8,1900000,Independent Client (elevated),0.228352
8,1900000,Client + Server,0.678367
8,1900000,Client + Server (elevated),0.523145
9,1900000,Independent Client,0.373615
9,1900000,Independent Client (elevated),0.226701
9,1900000,Client + Server,0.682984
9,1900000,Client + Server (elevated),0.486388
0,2000000,Independent Client,0.400336
0,2000000,Independent Client (elevated),0.237207
0,2000000,Client + Server,0.683915
0,2000000,Client + Server (elevated),0.556635
1,2000000,Independent Client,0.393286
1,2000000,Independent Client (elevated),0.253869
1,2000000,Client + Server,0.731027
1,2000000,Client + Server (elevated),0.560736
2,2000000,Independent Client,0.389531
2,2000000,Independent Client (elevated),0.244963
2,2000000,Client + Server,0.680653
2,2000000,Client + Server (elevated),0.552152
3,2000000,Independent Client,0.392921
3,2000000,Independent Client (elevated),0.238733
3,2000000,Client + Server,0.720619
3,2000000,Client + Server (elevated),0.545736
4,2000000,Independent Client,0.402125
4,2000000,Independent Client (elevated),0.243186
4,2000000,Client + Server,0.713749
4,2000000,Client + Server (elevated),0.526720
5,2000000,Independent Client,0.401849
5,2000000,Independent Client (elevated),0.237490
5,2000000,Client + Server,0.728794
5,2000000,Client + Server (elevated),0.510283
6,2000000,Independent Client,0.402565
6,2000000,Independent Client (elevated),0.240623
6,2000000,Client + Server,0.726626
6,2000000,Client + Server (elevated),0.510475
7,2000000,Independent Client,0.417432
7,2000000,Independent Client (elevated),0.236830
7,2000000,Client + Server,0.730287
7,2000000,Client + Server (elevated),0.550212
8,2000000,Independent Client,0.404137
8,2000000,Independent Client (elevated),0.239597
8,2000000,Client + Server,0.711854
8,2000000,Client + Server (elevated),0.529186
